"uniqueGroup","rowType","uniqueIndex","matchIndex","nUniqueGroup","alleleMismatch","matchThreshold","cutHeight","Psib","score","metaData","LOC1a","LOC1b","LOC2a","LOC2b","LOC3a","LOC3b","LOC4a","LOC4b","LOC5a","LOC5b","LOC6a","LOC6b","LOC7a","LOC7b","LOC8a","LOC8b","LOC9a","LOC9b","LOC10a","LOC10b"
"12","MATCH","36","37","2","6","0.7","0.3","","0.85","AAL","107","116","-99","-99","313","313","411","411","504","514","606","617","706","708","811","812","908","908","1016","1020"
"13","UNIQUE","38","38","3","6","0.7","0.3","3.69603107773812e-05","","AAM","103","112","206","219","311","316","409","416","514","518","608","611","708","712","811","817","910","920","1001","1008"
"13","MATCH","38","39","3","6","0.7","0.3","3.69603107773812e-05","1","AAM","103","112","206","219","311","316","409","416","514","518","608","611","708","712","811","817","910","920","1001","1008"
"13","MATCH","38","40","3","6","0.7","0.3","0.000878054009848319","0.85","AAM","-99","-99","206","219","311","316","409","416","514","518","608","611","-99","-99","-99","-99","910","920","1001","1008"
"14","UNIQUE","41","41","4","6","0.7","0.3","5.87158952305265e-05","","AAN","115","120","219","219","306","306","411","416","504","514","606","608","703","718","811","813","901","908","1004","1013"
"14","MATCH","41","43","4","6","0.7","0.3","5.87158952305265e-05","1","AAN","115","120","219","219","306","306","411","416","504","514","606","608","703","718","811","813","901","908","1004","1013"
"14","MATCH","41","42","4","6","0.7","0.3","","0.9","AAN","115","120","219","219","306","306","411","411","504","514","606","608","703","718","811","811","901","908","1004","1013"
"14","MATCH","41","44","4","6","0.7","0.3","","0.9","AAN","-99","-99","219","219","306","306","411","416","504","514","606","606","703","718","811","813","901","908","1004","1013"
"15","UNIQUE","45","45","2","6","0.7","0.3","0.000188830890713094","","AAO","-99","-99","206","206","306","316","409","416","514","518","608","620","708","718","811","817","908","908","1008","1020"
"15","MATCH","45","46","2","6","0.7","0.3","0.000188830890713094","0.95","AAO","115","117","206","206","306","316","409","416","514","518","608","620","708","718","811","817","908","908","1008","1020"
"16","UNIQUE","47","47","3","6","0.7","0.3","5.80356386454229e-05","","AAP","103","117","206","219","310","313","411","416","510","514","604","604","708","708","807","812","908","910","1008","1020"
"16","MATCH","47","48","3","6","0.7","0.3","5.80356386454229e-05","1","AAP","103","117","206","219","310","313","411","416","510","514","604","604","708","708","807","812","908","910","1008","1020"
"16","MATCH","47","49","3","6","0.7","0.3","","0.9","AAP","103","117","206","219","310","313","411","416","-99","-99","604","604","708","708","807","807","908","910","1008","1020"
"17","UNIQUE","50","50","3","6","0.7","0.3","0.000175206891045259","","AAQ","112","120","205","219","311","316","411","416","-99","-99","608","610","718","718","812","817","908","920","1008","1013"
"17","MATCH","50","52","3","6","0.7","0.3","0.00140959424741095","0.9","AAQ","-99","-99","205","219","311","316","411","416","-99","-99","608","610","718","718","812","817","-99","-99","1008","1013"
"17","MATCH","50","51","3","6","0.7","0.3","","0.8","AAQ","112","120","205","219","311","316","-99","-99","514","514","608","610","-99","-99","812","817","908","908","1008","1013"
"18","UNIQUE","53","53","2","6","0.7","0.3","0.000143903128169423","","AAR","115","115","202","202","-99","-99","411","411","504","514","606","610","718","718","812","817","903","904","1001","1004"
"18","MATCH","53","54","2","6","0.7","0.3","","0.8","AAR","115","115","-99","-99","311","311","411","411","504","514","606","610","718","718","812","812","-99","-99","1001","1004"
"19","UNIQUE","55","55","4","6","0.7","0.3","5.84416861139833e-05","","AAS","103","107","206","219","307","307","404","405","504","519","601","610","703","709","807","819","-99","-99","1008","1008"
"19","MATCH","55","58","4","6","0.7","0.3","","0.9","AAS","103","107","206","219","307","310","404","405","504","519","601","610","703","709","807","819","903","912","1008","1008"
"19","MATCH","55","56","4","6","0.7","0.3","","0.85","AAS","103","107","206","219","307","310","404","405","504","519","601","610","703","709","807","819","903","912","-99","-99"
"19","MATCH","55","57","4","6","0.7","0.3","","0.85","AAS","103","107","206","219","307","310","-99","-99","504","519","601","610","703","709","807","819","903","912","1008","1008"
"20","UNIQUE","59","59","2","6","0.7","0.3","4.5693601423148e-05","","AAT","107","120","206","219","306","317","411","411","504","514","617","620","708","718","809","812","901","908","1001","1020"
"20","MATCH","59","60","2","6","0.7","0.3","0.000102450799406042","0.95","AAT","107","120","-99","-99","306","317","411","411","504","514","617","620","708","718","809","812","901","908","1001","1020"
"21","UNIQUE","61","61","2","6","0.7","0.3","0.00626908744772759","","AAU","-99","-99","205","206","-99","-99","411","411","504","508","604","617","-99","-99","-99","-99","908","908","1008","1008"
"21","MATCH","61","62","2","6","0.7","0.3","","0.75","AAU","107","115","205","205","-99","-99","411","411","504","508","604","617","706","708","807","813","908","908","-99","-99"
"22","UNIQUE","63","63","2","6","0.7","0.3","0.000261212474050629","","AAV","111","115","205","219","306","317","411","411","-99","-99","602","604","708","718","807","817","903","908","1001","1008"
"22","MATCH","63","64","2","6","0.7","0.3","0.000261212474050629","0.95","AAV","111","115","205","219","306","317","411","411","514","519","602","604","708","718","807","817","903","908","1001","1008"
"23","UNIQUE","65","65","3","6","0.7","0.3","0.000242586368097228","","AAW","-99","-99","219","219","312","313","411","416","518","519","608","608","703","712","807","817","908","920","1001","1008"
"23","MATCH","65","66","3","6","0.7","0.3","0.000544495900682383","0.9","AAW","115","116","219","219","312","313","411","416","518","519","608","608","703","712","807","817","908","920","-99","-99"
"23","MATCH","65","67","3","6","0.7","0.3","","0.85","AAW","115","116","219","219","312","313","411","416","518","518","608","608","-99","-99","807","817","908","920","1001","1008"
"24","UNIQUE","68","68","4","6","0.7","0.3","0.000134915048561182","","AAX","115","115","205","219","307","311","411","411","504","514","604","608","712","718","813","817","908","910","1008","1008"
"24","MATCH","68","69","4","6","0.7","0.3","","0.9","AAX","115","115","205","219","307","311","411","416","504","514","604","608","712","718","813","817","-99","-99","1008","1008"
"24","MATCH","68","70","4","6","0.7","0.3","","0.9","AAX","115","115","205","219","307","311","411","416","-99","-99","604","608","712","718","813","817","908","910","1008","1008"
"24","MATCH","68","71","4","6","0.7","0.3","","0.85","AAX","115","115","205","205","307","311","411","416","504","514","604","608","712","718","813","817","-99","-99","1008","1008"
"25","UNIQUE","72","72","4","6","0.7","0.3","9.4365890151885e-05","","AAY","107","115","217","219","316","317","405","416","504","514","606","617","-99","-99","817","819","901","912","1001","1008"
"25","MATCH","72","75","4","6","0.7","0.3","9.4365890151885e-05","0.95","AAY","107","115","217","219","316","317","405","416","504","514","606","617","703","708","817","819","901","912","1001","1008"
"25","MATCH","72","73","4","6","0.7","0.3","0.000292323901405194","0.9","AAY","107","115","217","219","-99","-99","405","416","504","514","606","617","703","708","817","819","901","912","1001","1008"
"25","MATCH","72","74","4","6","0.7","0.3","0.00610577756442494","0.75","AAY","-99","-99","-99","-99","-99","-99","405","416","504","514","606","617","703","708","-99","-99","901","912","1001","1008"
"26","UNIQUE","76","76","2","6","0.7","0.3","2.77858292468338e-05","","AAZ","111","115","205","219","307","307","411","412","511","514","606","608","712","712","817","819","912","912","1016","1020"
"26","MATCH","76","77","2","6","0.7","0.3","","0.8","AAZ","111","115","-99","-99","307","307","-99","-99","511","514","606","608","712","718","817","819","-99","-99","1016","1020"
"27","UNIQUE","78","78","4","6","0.7","0.3","7.94296283375825e-05","","ABA","103","103","206","206","302","311","411","416","504","508","-99","-99","708","718","801","812","904","920","1002","1004"
"27","MATCH","78","79","4","6","0.7","0.3","7.94296283375825e-05","0.95","ABA","103","103","206","206","302","311","411","416","504","508","604","606","708","718","801","812","904","920","1002","1004"
"27","MATCH","78","80","4","6","0.7","0.3","7.94296283375825e-05","0.95","ABA","103","103","206","206","302","311","411","416","504","508","604","606","708","718","801","812","904","920","1002","1004"
"27","MATCH","78","81","4","6","0.7","0.3","0.00116498366181","0.8","ABA","103","103","206","206","-99","-99","-99","-99","504","508","604","606","-99","-99","801","812","904","920","1002","1004"
"28","UNIQUE","82","82","1","6","0.7","0.3","5.43839862949398e-05","","ABB","103","120","202","219","310","316","411","416","508","514","608","608","703","703","809","819","908","912","1004","1008"
"29","UNIQUE","83","83","4","6","0.7","0.3","0.000124316723238217","","ABC","115","115","205","219","302","311","409","416","514","519","-99","-99","706","706","801","812","908","908","1001","1020"
"29","MATCH","83","84","4","6","0.7","0.3","","0.8","ABC","115","116","205","219","302","311","409","416","514","519","604","606","706","718","801","812","-99","-99","1001","1020"
"29","MATCH","83","85","4","6","0.7","0.3","","0.8","ABC","115","116","205","219","302","311","409","416","514","519","604","606","706","718","801","812","908","908","-99","-99"
"29","MATCH","83","86","4","6","0.7","0.3","","0.8","ABC","115","116","205","219","302","311","409","416","514","519","604","606","706","718","-99","-99","908","908","1001","1020"
"30","UNIQUE","87","87","2","6","0.7","0.3","0.000122497598441914","","ABD","-99","-99","202","206","317","317","405","416","508","514","604","617","708","712","807","817","908","908","1002","1020"
"30","MATCH","87","88","2","6","0.7","0.3","0.000122497598441914","0.95","ABD","115","116","202","206","317","317","405","416","508","514","604","617","708","712","807","817","908","908","1002","1020"
"31","UNIQUE","89","89","3","6","0.7","0.3","7.45018320721578e-05","","ABE","103","117","219","219","302","313","408","416","514","514","608","608","703","712","817","817","908","920","1008","1013"
"31","MATCH","89","91","3","6","0.7","0.3","7.45018320721578e-05","1","ABE","103","117","219","219","302","313","408","416","514","514","608","608","703","712","817","817","908","920","1008","1013"
"31","MATCH","89","90","3","6","0.7","0.3","","0.9","ABE","103","117","219","219","302","313","408","408","514","514","608","608","703","712","817","817","908","920","-99","-99"
"32","UNIQUE","92","92","2","6","0.7","0.3","0.000140239304630366","","ABF","116","116","206","219","312","316","409","416","514","518","608","617","712","718","812","817","908","920","-99","-99"
"32","MATCH","92","93","2","6","0.7","0.3","0.000140239304630366","0.95","ABF","116","116","206","219","312","316","409","416","514","518","608","617","712","718","812","817","908","920","1008","1016"
"33","UNIQUE","94","94","2","6","0.7","0.3","0.000112373585820356","","ABG","116","120","205","219","312","316","405","405","504","514","608","611","708","718","-99","-99","904","919","1008","1008"
"33","MATCH","94","95","2","6","0.7","0.3","0.000770355973867933","0.9","ABG","-99","-99","205","219","312","316","405","405","504","514","608","611","708","718","-99","-99","904","919","-99","-99"
"34","UNIQUE","96","96","6","6","0.7","0.3","0.000160734834427473","","ABH","103","116","206","206","311","316","416","416","-99","-99","606","606","708","718","807","817","908","920","1004","1004"
"34","MATCH","96","98","6","6","0.7","0.3","0.000160734834427473","0.95","ABH","103","116","206","206","311","316","416","416","504","504","606","606","708","718","807","817","908","920","1004","1004"
"34","MATCH","96","97","6","6","0.7","0.3","","0.9","ABH","103","103","206","206","311","316","416","416","504","519","606","606","708","718","807","817","908","920","1004","1004"
"34","MATCH","96","99","6","6","0.7","0.3","0.00043260400467201","0.9","ABH","103","116","206","206","311","316","416","416","504","519","-99","-99","708","718","807","817","908","920","1004","1004"
"34","MATCH","96","100","6","6","0.7","0.3","0.00051561185470163","0.9","ABH","103","116","206","206","311","316","416","416","504","519","606","606","708","718","807","817","908","920","-99","-99"
"34","MATCH","96","101","6","6","0.7","0.3","0.000357431231156702","0.9","ABH","103","116","206","206","311","316","416","416","504","519","606","606","-99","-99","807","817","908","920","1004","1004"
"35","UNIQUE","102","102","4","6","0.7","0.3","5.87801788397575e-05","","ABI","115","115","205","219","307","307","409","411","504","511","604","606","712","718","807","819","908","910","1008","1020"
"35","MATCH","102","103","4","6","0.7","0.3","","0.85","ABI","-99","-99","205","219","307","313","409","411","504","511","604","606","712","718","807","819","-99","-99","1008","1020"
"35","MATCH","102","104","4","6","0.7","0.3","","0.85","ABI","115","115","205","219","307","313","409","411","-99","-99","-99","-99","712","718","807","819","908","910","1008","1020"
"35","MATCH","102","105","4","6","0.7","0.3","","0.85","ABI","115","115","205","219","307","313","409","409","504","511","604","606","-99","-99","807","819","908","910","1008","1020"
"36","UNIQUE","106","106","2","6","0.7","0.3","7.44079301874068e-05","","ABJ","116","120","219","219","306","317","409","412","504","519","602","606","718","718","807","817","903","912","-99","-99"
"36","MATCH","106","107","2","6","0.7","0.3","","0.9","ABJ","116","120","219","219","306","317","409","412","504","519","602","602","718","718","807","817","903","912","1001","1002"
"37","UNIQUE","108","108","2","6","0.7","0.3","0.000114025010471236","","ABK","103","116","205","219","306","306","405","411","501","504","604","606","703","712","807","819","-99","-99","1008","1020"
"37","MATCH","108","109","2","6","0.7","0.3","0.000872665061126891","0.85","ABK","103","116","205","219","306","306","405","411","501","504","604","606","-99","-99","807","819","908","920","-99","-99"
"38","CHECK_UNIQUE","110","110","5","6","0.7","0.3","9.06739459011816e-05","","ABL","103","116","219","219","307","307","409","416","508","514","604","608","708","718","807","817","908","920","1001","1016"
"38","MATCH","110","113","5","6","0.7","0.3","9.06739459011816e-05","1","ABL","103","116","219","219","307","307","409","416","508","514","604","608","708","718","807","817","908","920","1001","1016"
"38","MATCH","110","111","5","6","0.7","0.3","","0.8","ABL","103","116","219","219","307","311","-99","-99","508","514","604","608","-99","-99","807","817","-99","-99","1001","1016"
"38","MULTIPLE_MATCH","110","112","5","6","0.7","0.3","","0.8","ABL","103","116","219","219","-99","-99","-99","-99","508","514","604","608","708","718","807","817","908","908","-99","-99"
"38","MATCH","110","114","5","6","0.7","0.3","","0.75","ABL","103","116","219","219","307","311","-99","-99","508","514","-99","-99","708","708","-99","-99","908","920","1001","1016"
"39","UNIQUE","115","115","1","6","0.7","0.3","6.52519795482404e-05","","ABM","116","117","219","219","316","317","411","411","501","508","606","608","718","718","807","807","912","912","1001","1001"
"40","UNIQUE","116","116","8","6","0.7","0.3","0.000136986115312232","","ABN","111","112","205","219","310","311","411","416","514","514","606","608","718","718","807","819","908","908","1008","1008"
"40","MATCH","116","122","8","6","0.7","0.3","","0.95","ABN","111","112","205","219","310","311","411","416","514","519","606","608","718","718","807","819","908","908","1008","1008"
"40","MATCH","116","118","8","6","0.7","0.3","0.000849613209495411","0.9","ABN","111","112","205","219","310","311","411","416","-99","-99","606","608","718","718","-99","-99","908","908","1008","1008"
"40","MATCH","116","120","8","6","0.7","0.3","","0.9","ABN","111","112","205","219","310","311","411","411","514","519","606","608","718","718","807","819","908","908","1008","1008"
"40","MATCH","116","119","8","6","0.7","0.3","","0.85","ABN","111","111","205","219","310","310","411","416","514","519","606","608","718","718","807","819","908","908","1008","1008"
"40","MATCH","116","117","8","6","0.7","0.3","","0.8","ABN","111","112","205","219","310","311","411","416","514","519","606","608","-99","-99","-99","-99","908","908","-99","-99"
"40","MATCH","116","121","8","6","0.7","0.3","","0.8","ABN","111","112","205","219","310","311","411","416","514","519","-99","-99","-99","-99","807","819","908","908","-99","-99"
"40","MATCH","116","250","8","6","0.7","0.3","","0.7","ADA","-99","-99","205","219","306","311","411","416","511","514","608","608","703","718","807","819","903","908","1008","1008"
"41","UNIQUE","123","123","1","6","0.7","0.3","0.000552992849893082","","ABO","116","116","205","219","310","316","416","416","-99","-99","-99","-99","708","708","807","817","908","920","1004","1008"
"42","UNIQUE","124","124","5","6","0.7","0.3","4.0161916983082e-05","","ABP","117","120","206","219","306","317","409","412","514","519","608","608","703","708","812","817","904","920","1001","1008"
"42","MATCH","124","128","5","6","0.7","0.3","4.0161916983082e-05","1","ABP","117","120","206","219","306","317","409","412","514","519","608","608","703","708","812","817","904","920","1001","1008"
"42","MATCH","124","125","5","6","0.7","0.3","0.000134914389548969","0.95","ABP","-99","-99","206","219","306","317","409","412","514","519","608","608","703","708","812","817","904","920","1001","1008"
"42","MATCH","124","127","5","6","0.7","0.3","0.000137175019400661","0.95","ABP","117","120","206","219","306","317","-99","-99","514","519","608","608","703","708","812","817","904","920","1001","1008"
"42","MATCH","124","126","5","6","0.7","0.3","","0.9","ABP","117","120","206","219","306","317","409","409","514","519","-99","-99","703","708","812","817","904","920","1001","1008"
"43","UNIQUE","129","129","2","6","0.7","0.3","4.92934756843156e-05","","ABQ","112","116","206","219","314","314","411","416","504","504","606","617","703","706","817","819","908","912","1008","1008"
"43","MATCH","129","130","2","6","0.7","0.3","4.92934756843156e-05","1","ABQ","112","116","206","219","314","314","411","416","504","504","606","617","703","706","817","819","908","912","1008","1008"
"44","UNIQUE","131","131","3","6","0.7","0.3","4.11794782168215e-05","","ABR","117","117","206","206","311","313","404","409","504","504","604","608","708","712","813","817","908","920","1008","1008"
"44","MATCH","131","132","3","6","0.7","0.3","0.00025311630674398","0.9","ABR","117","117","-99","-99","311","313","404","409","504","504","604","608","708","712","813","817","-99","-99","1008","1008"
"44","MATCH","131","133","3","6","0.7","0.3","","0.9","ABR","117","117","-99","-99","311","313","404","409","504","504","604","608","708","712","813","817","908","908","1008","1008"
"45","UNIQUE","134","134","5","6","0.7","0.3","0.000618616942052628","","ABS","115","115","-99","-99","311","316","409","411","514","518","601","601","-99","-99","807","817","908","908","1008","1008"
"45","MATCH","134","138","5","6","0.7","0.3","0.00143686049986335","0.85","ABS","115","115","212","219","311","316","-99","-99","514","518","601","601","703","703","807","817","908","908","1008","1008"
"45","MATCH","134","135","5","6","0.7","0.3","","0.8","ABS","115","115","212","219","311","316","409","411","-99","-99","601","601","703","703","807","807","908","908","1008","1008"
"45","MATCH","134","137","5","6","0.7","0.3","0.00470937950414786","0.8","ABS","-99","-99","212","219","-99","-99","409","411","514","518","601","601","703","703","807","817","908","908","1008","1008"
"45","MATCH","134","136","5","6","0.7","0.3","","0.75","ABS","-99","-99","212","219","311","311","409","411","514","518","601","601","703","703","807","817","-99","-99","1008","1008"
"46","UNIQUE","139","139","3","6","0.7","0.3","6.7914384405143e-05","","ABT","103","116","202","206","302","312","409","411","510","514","-99","-99","718","718","807","819","904","919","1002","1020"
"46","MATCH","139","140","3","6","0.7","0.3","","0.9","ABT","103","116","202","206","302","312","409","409","510","514","606","608","718","718","807","819","904","919","1002","1020"
"46","MATCH","139","141","3","6","0.7","0.3","","0.9","ABT","103","116","202","206","302","312","409","411","510","510","606","608","718","718","807","819","904","919","1002","1020"
"47","UNIQUE","142","142","5","6","0.7","0.3","0.000144018154786486","","ABU","103","107","206","219","-99","-99","411","411","501","508","606","617","708","708","811","817","904","920","1001","1016"
"47","MATCH","142","143","5","6","0.7","0.3","0.000144018154786486","0.95","ABU","103","107","206","219","313","313","411","411","501","508","606","617","708","708","811","817","904","920","1001","1016"
"47","MATCH","142","144","5","6","0.7","0.3","0.000144018154786486","0.95","ABU","103","107","206","219","313","313","411","411","501","508","606","617","708","708","811","817","904","920","1001","1016"
"47","MATCH","142","146","5","6","0.7","0.3","0.000144018154786486","0.95","ABU","103","107","206","219","313","313","411","411","501","508","606","617","708","708","811","817","904","920","1001","1016"
"47","MATCH","142","145","5","6","0.7","0.3","","0.8","ABU","103","107","206","219","313","313","411","411","501","508","606","617","-99","-99","-99","-99","904","904","1001","1016"
"48","UNIQUE","147","147","2","6","0.7","0.3","7.79955351623687e-05","","ABV","103","115","205","219","311","313","411","411","514","514","604","610","708","718","812","817","904","920","1001","1020"
"48","MATCH","147","148","2","6","0.7","0.3","","0.95","ABV","103","115","205","219","311","313","411","411","514","514","604","610","708","718","812","817","904","920","1001","1001"
"49","UNIQUE","149","149","4","6","0.7","0.3","0.000314977542184362","","ABW","116","117","205","219","311","317","408","411","508","514","610","617","718","718","801","817","-99","-99","-99","-99"
"49","MATCH","149","150","4","6","0.7","0.3","","0.9","ABW","116","117","205","219","311","317","408","411","508","514","610","610","718","718","801","817","-99","-99","1002","1008"
"49","MATCH","149","152","4","6","0.7","0.3","0.000314977542184362","0.9","ABW","116","117","205","219","311","317","408","411","508","514","610","617","718","718","801","817","908","908","1002","1008"
"49","MATCH","149","151","4","6","0.7","0.3","0.000687614011636547","0.85","ABW","116","117","-99","-99","311","317","408","411","508","514","610","617","718","718","801","817","908","908","1002","1008"
"50","UNIQUE","153","153","3","6","0.7","0.3","0.000967139980957193","","ABX","115","115","205","205","-99","-99","-99","-99","501","501","-99","-99","703","712","801","819","908","908","1001","1016"
"50","MATCH","153","154","3","6","0.7","0.3","","0.8","ABX","115","115","205","205","311","312","416","416","501","501","-99","-99","703","703","801","819","908","908","1001","1001"
"50","MATCH","153","155","3","6","0.7","0.3","0.00279305957598833","0.8","ABX","115","115","205","205","311","312","416","416","501","501","606","617","703","712","801","819","908","908","-99","-99"
"51","UNIQUE","156","156","4","6","0.7","0.3","0.000181885790981586","","ABY","-99","-99","205","206","311","313","409","416","504","514","608","608","703","703","812","817","904","908","1008","1020"
"51","MATCH","156","157","4","6","0.7","0.3","0.000181885790981586","0.95","ABY","117","120","205","206","311","313","409","416","504","514","608","608","703","703","812","817","904","908","1008","1020"
"51","MATCH","156","159","4","6","0.7","0.3","0.000181885790981586","0.95","ABY","117","120","205","206","311","313","409","416","504","514","608","608","703","703","812","817","904","908","1008","1020"
"51","MATCH","156","158","4","6","0.7","0.3","0.00303906280371618","0.85","ABY","-99","-99","-99","-99","311","313","-99","-99","-99","-99","608","608","703","703","812","817","904","908","1008","1020"
"52","UNIQUE","160","160","1","6","0.7","0.3","0.000343045745156766","","ABZ","103","107","-99","-99","302","307","-99","-99","508","514","601","608","708","718","807","819","908","919","1004","1008"
